metros_cuadrados,habitaciones,edad_propiedad,barrio,tiene_garaje,precio
,3,37,Oeste,no,89040.0
71.2,3,14,Sur,no,98080.0
82.6,5,33,Centro,no,170701.0
108.8,1,34,Oeste,no,132233.0
51.3,5,48,Sur,si,115942.0
103.3,3,24,Centro,si,184725.0
80.2,3,23,Oeste,si,131247.0
60.4,1,11,Sur,no,71786.0
,4,17,Sur,si,145508.0
84.0,2,14,Sur,no,116799.0
68.0,3,43,Oeste,no,78937.0
,3,15,Centro,si,154643.0
,4,26,Centro,no,133082.0
82.3,4,7,Norte,si,179763.0
93.2,5,45,Sur,si,166446.0
111.7,5,24,Norte,si,205996.0
55.2,2,16,Norte,no,96552.0
122.7,2,28,Centro,si,198941.0
41.0,1,7,Oeste,no,72319.0
77.0,5,14,Oeste,si,146126.0
91.8,3,26,Centro,si,174544.0
85.6,5,45,Oeste,si,159972.0
67.5,3,49,Norte,no,111511.0
75.8,4,6,Sur,no,124856.0
70.1,5,2,Centro,no,173130.0
68.2,4,28,Sur,si,90808.0
97.0,2,43,Oeste,si,141679.0
87.1,2,23,Sur,no,101479.0
66.1,1,2,Oeste,no,75014.0
98.0,5,19,Oeste,no,168212.0
86.1,4,45,Norte,no,154557.0
96.3,3,14,Oeste,no,142186.0
92.6,2,24,Norte,no,148649.0
63.4,2,29,Norte,si,132703.0
68.8,3,13,Norte,no,139209.0
94.9,4,6,Centro,si,212280.0
92.2,4,16,Centro,si,195061.0
,5,43,,no,129774.0
82.3,5,19,Norte,no,143240.0
105.6,1,35,Centro,si,161759.0
68.2,2,8,Norte,no,109408.0
90.9,5,37,Sur,no,157289.0
76.0,4,47,Sur,si,115941.0
75.6,3,21,Sur,si,121452.0
102.0,4,1,Oeste,si,187415.0
96.5,2,23,Norte,no,144736.0
96.3,4,7,Sur,si,179011.0
106.1,1,10,Centro,no,156094.0
80.4,2,12,Sur,si,122426.0
93.6,3,16,Sur,si,136895.0
73.8,1,7,Sur,si,91860.0
86.5,2,20,Oeste,no,112682.0
77.4,3,17,Centro,no,144010.0
81.9,1,29,Norte,si,124487.0
91.9,1,17,Centro,si,149856.0
63.6,2,45,Norte,si,94757.0
121.8,5,46,Oeste,no,177329.0
59.9,1,30,Oeste,si,71833.0
55.7,1,37,Oeste,no,70941.0
103.2,3,31,Oeste,si,159164.0
95.8,4,10,Norte,si,170384.0
92.5,2,44,Sur,si,115908.0
,2,24,Norte,si,146598.0
79.8,5,32,,si,177952.0
62.1,5,37,Oeste,si,139425.0
81.5,2,40,Oeste,no,84048.0
66.5,5,7,Centro,si,172450.0
99.5,3,10,Norte,no,162799.0
77.1,2,21,Sur,si,118733.0
63.5,5,23,Sur,si,126832.0
73.6,2,40,Centro,no,110800.0
,4,16,Sur,si,144769.0
68.7,1,11,Norte,no,98980.0
63.6,2,45,Norte,no,104580.0
84.9,1,31,Centro,si,141593.0
84.9,5,14,Norte,no,183892.0
69.9,1,15,Oeste,no,90773.0
,2,21,Centro,si,132136.0
84.6,4,27,Norte,no,132883.0
51.0,5,19,Centro,si,128669.0
51.9,2,32,Sur,si,60439.0
65.6,5,9,Norte,si,161891.0
75.7,3,39,Oeste,si,126427.0
86.2,1,31,Norte,no,102128.0
109.5,3,49,Centro,si,190850.0
97.2,2,32,Centro,si,160809.0
76.8,4,1,Norte,no,153128.0
79.6,5,32,Oeste,si,165642.0
59.9,1,32,Oeste,si,94848.0
79.6,5,40,Oeste,no,127835.0
74.2,2,12,Centro,no,124128.0
86.5,5,29,Norte,no,137782.0
63.5,1,32,Sur,no,58008.0
90.4,2,12,Centro,no,150369.0
110.7,5,25,Oeste,no,165468.0
77.8,4,21,,no,141547.0
88.0,2,38,Oeste,si,127369.0
93.8,2,1,Sur,no,124811.0
72.0,4,37,Oeste,no,106400.0
84.5,3,38,Oeste,no,119087.0
80.3,1,25,Sur,si,108279.0
82.0,3,45,Norte,si,129996.0
64.5,5,49,Centro,no,147009.0
80.5,4,14,Norte,no,148614.0
90.0,3,33,Sur,no,116688.0
109.0,2,41,Oeste,si,157382.0
99.2,5,43,Norte,si,184872.0
123.1,5,48,Centro,no,213251.0
64.7,3,39,Sur,si,101011.0
97.4,3,10,Norte,no,155756.0
83.7,4,2,Centro,si,188055.0
,1,5,Sur,si,154623.0
63.8,3,8,Centro,no,133646.0
63.2,3,5,Sur,no,98008.0
68.0,2,8,Oeste,no,100519.0
37.5,5,38,Norte,no,94715.0
69.5,1,30,Centro,si,104582.0
64.8,2,31,Sur,si,86773.0
83.0,4,40,Centro,si,165528.0
86.8,4,49,Centro,no,151259.0
117.5,3,11,Norte,si,190223.0
99.0,3,7,Oeste,no,162957.0
68.5,4,7,Centro,si,155038.0
62.0,3,49,Sur,no,84595.0
89.8,1,27,Sur,no,103532.0
53.6,3,19,Oeste,si,98358.0
116.6,5,46,Sur,no,179673.0
103.6,3,6,Oeste,no,144384.0
70.6,2,10,Sur,si,118912.0
45.7,1,19,Norte,no,85346.0
107.1,2,15,Centro,no,164314.0
77.7,2,3,Norte,no,145665.0
104.8,5,5,Centro,si,215760.0
48.1,1,21,Centro,si,105107.0
,1,25,Centro,no,111703.0
80.1,1,2,Norte,si,138777.0
80.9,1,40,Centro,no,125188.0
71.0,1,41,Norte,no,102635.0
92.5,5,13,Oeste,no,142015.0
58.6,3,10,Sur,no,103363.0
77.2,2,17,Sur,no,82515.0
82.4,1,11,Centro,si,158705.0
90.3,3,22,Norte,no,158627.0
94.2,3,11,Sur,si,136630.0
57.5,2,12,Norte,si,113892.0
49.3,5,24,Norte,no,106103.0
105.6,4,44,Centro,no,172571.0
86.6,4,18,Sur,si,141840.0
65.0,3,45,Centro,si,138297.0
111.0,2,35,Centro,si,193803.0
82.3,4,44,Sur,no,125717.0
103.6,3,7,Sur,si,155198.0
81.4,5,28,Oeste,no,136588.0
121.2,4,31,Oeste,no,158106.0
115.1,3,43,Norte,no,158561.0
75.0,3,17,Sur,si,131149.0
99.4,1,5,Oeste,no,147936.0
92.9,5,17,Norte,no,160637.0
107.4,1,18,Norte,no,143955.0
60.7,2,21,Norte,no,102076.0
93.7,1,36,Oeste,no,112242.0
101.2,1,31,Sur,si,117844.0
,4,40,Centro,no,108001.0
56.3,3,2,Norte,no,111822.0
39.2,5,27,Oeste,si,103395.0
74.6,1,9,Oeste,no,105483.0
94.4,5,34,Centro,si,191344.0
110.0,1,28,Centro,no,153636.0
81.5,2,14,Oeste,si,129704.0
112.6,1,32,Sur,si,138236.0
52.4,4,6,Centro,no,126180.0
,3,11,Oeste,no,81992.0
78.9,2,48,Centro,no,136666.0
87.7,1,29,Sur,si,116349.0
79.3,5,20,Norte,si,167205.0
38.7,2,30,Centro,si,103410.0
78.2,2,23,,no,94002.0
53.9,1,19,Oeste,si,96911.0
93.4,2,36,,si,162776.0
87.3,5,3,Centro,no,182187.0
,2,27,Oeste,si,104417.0
,5,43,Norte,si,131431.0
58.8,1,19,Oeste,no,64792.0
78.7,3,23,,si,146001.0
99.1,2,49,Oeste,no,120849.0
60.3,3,48,Sur,no,90685.0
90.1,5,31,Oeste,no,169933.0
69.4,2,40,Centro,no,119661.0
64.1,4,35,Oeste,no,109428.0
77.9,3,33,Norte,si,123969.0
59.3,2,35,Oeste,si,88233.0
68.9,3,1,Norte,no,124302.0
56.0,2,14,Sur,no,68992.0
119.3,1,33,Norte,si,169979.0
80.7,3,35,Oeste,no,109619.0
66.0,4,5,Centro,no,126907.0
84.3,4,38,Norte,no,149639.0
77.8,5,41,Sur,si,122133.0
,2,11,Norte,si,142612.0
92.3,3,2,Norte,no,180501.0
95.2,5,44,Norte,no,153046.0
69.4,3,17,Sur,si,89477.0
68.5,2,39,Oeste,si,99840.0
74.5,4,20,Norte,no,150410.0
34.0,1,14,,no,83383.0
49.7,4,32,Centro,si,116345.0
107.3,5,34,,si,176727.0
112.9,1,25,Norte,si,163327.0
75.0,5,7,Sur,no,130441.0
91.5,2,35,Norte,si,173743.0
86.2,1,47,Oeste,no,79910.0
141.6,5,29,Oeste,si,227957.0
102.4,2,22,Norte,si,171557.0
77.4,4,41,Oeste,si,143238.0
60.9,2,43,Norte,si,107560.0
47.9,3,13,Oeste,no,89061.0
84.1,2,13,Centro,no,140504.0
64.9,2,1,Centro,si,145071.0
51.6,3,36,Centro,no,100488.0
67.1,5,4,Sur,si,144736.0
58.4,5,37,Sur,si,107884.0
113.7,2,44,Centro,si,183211.0
97.6,3,40,Sur,si,136827.0
79.8,3,46,Oeste,no,119021.0
109.6,4,13,Norte,si,199506.0
81.5,5,38,Norte,si,146070.0
62.8,1,24,Norte,no,105979.0
110.5,5,19,Centro,si,209043.0
90.8,5,1,Sur,si,161922.0
59.3,4,38,Oeste,si,106203.0
76.2,1,5,Oeste,no,117684.0
62.5,4,16,Centro,si,130643.0
52.3,1,24,Oeste,no,97137.0
